x_m,y_m,s_m
9.36432,13.52157,7.09913
9.33817,13.52927,7.11913
9.31598,13.53564,7.13912
9.29076,13.54220,7.15911
9.26811,13.54744,7.17911
9.24384,13.55296,7.19911
9.21919,13.55757,7.21911
9.19705,13.56160,7.23910
9.17235,13.56559,7.25910
9.14987,13.56869,7.27909
9.12641,13.57188,7.29909
9.10272,13.57437,7.31909
9.08070,13.57662,7.33909
9.05649,13.57867,7.35908
9.03423,13.58011,7.37908
9.01167,13.58154,7.39908
8.98899,13.58248,7.41908
8.96808,13.58332,7.43907
8.94630,13.58403,7.45907
8.92534,13.58454,7.47907
8.90426,13.58504,7.49907
8.88313,13.58535,7.51906
8.86310,13.58563,7.53906
8.84310,13.58591,7.55906
8.82311,13.58619,7.57906
8.80419,13.58645,7.59905
8.78532,13.58690,7.61905
8.76558,13.58737,7.63905
8.74604,13.58788,7.65905
8.72629,13.58843,7.67905
8.70393,13.58904,7.69904
8.68146,13.58921,7.71904
8.65929,13.58933,7.73904
8.63480,13.58903,7.75903
8.61239,13.58828,7.77903
8.58829,13.58742,7.79903
8.56406,13.58575,7.81903
8.54165,13.58412,7.83902
8.51682,13.58181,7.85902
8.49430,13.57920,7.87901
8.47032,13.57636,7.89901
8.44628,13.57269,7.91901
8.42416,13.56923,7.93901
8.39974,13.56493,7.95900
8.37757,13.56051,7.97900
8.35298,13.55553,7.99900
8.32842,13.54951,8.01899
8.30613,13.54394,8.03899
8.28109,13.53702,8.05898
8.25887,13.53023,8.07898
8.23490,13.52281,8.09898
8.21103,13.51435,8.11897
8.18972,13.50667,8.13897
8.16614,13.49761,8.15896
8.14501,13.48890,8.17896
8.12156,13.47913,8.19896
8.09833,13.46827,8.21896
8.07785,13.45856,8.23895
8.05520,13.44722,8.25895
8.03498,13.43647,8.27894
8.01218,13.42423,8.29894
7.98975,13.41082,8.31894
7.96977,13.39870,8.33894
7.94725,13.38420,8.35893
7.92773,13.37075,8.37892
7.90661,13.35606,8.39892
7.88596,13.34028,8.41892
7.86823,13.32656,8.43892
7.84892,13.31103,8.45891
7.83163,13.29648,8.47891
7.81252,13.28029,8.49890
7.79391,13.26320,8.51890
7.77644,13.24697,8.53890
7.75658,13.22733,8.55888
7.73991,13.20960,8.57888
7.72335,13.19187,8.59888
7.70729,13.17343,8.61888
7.69275,13.15661,8.63888
7.67708,13.13782,8.65887
7.66308,13.12030,8.67887
7.64685,13.09982,8.69886
7.63145,13.07834,8.71886
7.61845,13.05997,8.73886
7.60448,13.03940,8.75885
7.59218,13.02037,8.77885
7.57968,13.00095,8.79885
7.56760,12.98110,8.81885
7.55663,12.96296,8.83884
7.54526,12.94377,8.85884
7.53462,12.92535,8.87884
7.52260,12.90445,8.89884
7.51118,12.88297,8.91883
7.50079,12.86323,8.93883
7.48972,12.84124,8.95882
7.48003,12.82090,8.97882
7.46931,12.79823,8.99882
7.45942,12.77490,9.01882
7.45060,12.75380,9.03881
7.44121,12.72981,9.05881
7.43335,12.70802,9.07880
7.42479,12.68401,9.09880
7.41720,12.65939,9.11880
7.41056,12.63740,9.13880
7.40364,12.61234,9.15879
7.39807,12.58973,9.17878
7.39205,12.56493,9.19878
7.38708,12.53963,9.21878
7.38283,12.51738,9.23878
7.37862,12.49249,9.25877
7.37535,12.46986,9.27877
7.37191,12.44558,9.29876
7.36934,12.42097,9.31876
7.36715,12.39910,9.33876
7.36514,12.37534,9.35875
7.36367,12.35330,9.37875
7.36216,12.33012,9.39875
7.36126,12.30676,9.41875
7.36050,12.28540,9.43875
7.35993,12.26271,9.45874
7.35967,12.24124,9.47874
7.35941,12.21975,9.49874
7.35944,12.19817,9.51873
7.35948,12.17759,9.53873
7.35962,12.15647,9.55873
7.35986,12.13586,9.57873
7.36011,12.11522,9.59873
7.36048,12.09455,9.61872
7.36084,12.07452,9.63872
7.36120,12.05453,9.65872
7.36156,12.03453,9.67872
7.36191,12.01497,9.69871
7.36219,11.99542,9.71871
7.36247,11.97565,9.73871
7.36270,11.95610,9.75871
7.36290,11.93635,9.77871
7.36310,11.91678,9.79870
7.36322,11.89724,9.81870
7.36334,11.87736,9.83870
7.36344,11.85759,9.85870
7.36352,11.83772,9.87870
7.36360,11.81772,9.89869
7.36368,11.79772,9.91869
7.36376,11.77772,9.93869
7.36384,11.75773,9.95869
7.36392,11.73773,9.97868
7.36400,11.71773,9.99868
7.36408,11.69773,10.01868
7.36416,11.67774,10.03868
7.36424,11.65774,10.05868
7.36432,11.63774,10.07867
7.36440,11.61753,10.09867
7.36452,11.59731,10.11867
7.36464,11.57740,10.13867
7.36474,11.55763,10.15866
7.36482,11.53775,10.17866
7.36490,11.51775,10.19866
7.36498,11.49776,10.21866
7.36506,11.47776,10.23866
7.36514,11.45776,10.25865
7.36522,11.43776,10.27865
7.36530,11.41777,10.29865
7.36538,11.39777,10.31865
7.36546,11.37777,10.33864
7.36554,11.35777,10.35864
7.36562,11.33778,10.37864
7.36570,11.31757,10.39864
7.36582,11.29734,10.41864
7.36594,11.27743,10.43863
7.36604,11.25766,10.45863
7.36612,11.23779,10.47863
7.36620,11.21779,10.49863
7.36628,11.19779,10.51863
7.36636,11.17779,10.53862
7.36644,11.15780,10.55862
7.36652,11.13780,10.57862
7.36660,11.11780,10.59862
7.36668,11.09780,10.61861
7.36676,11.07781,10.63861
7.36684,11.05781,10.65861
7.36692,11.03781,10.67861
7.36700,11.01760,10.69861
7.36712,10.99738,10.71860
7.36724,10.97747,10.73860
7.36734,10.95770,10.75860
7.36742,10.93782,10.77860
7.36750,10.91783,10.79859
7.36758,10.89783,10.81859
7.36766,10.87783,10.83859
7.36774,10.85783,10.85859
7.36782,10.83784,10.87859
7.36790,10.81784,10.89858
7.36798,10.79784,10.91858
7.36806,10.77784,10.93858
7.36814,10.75784,10.95858
7.36822,10.73785,10.97857
7.36830,10.71764,10.99857
7.36842,10.69741,11.01857
7.36854,10.67750,11.03857
7.36864,10.65773,11.05857
7.36872,10.63786,11.07856
7.36880,10.61786,11.09856
7.36888,10.59786,11.11856
7.36896,10.57787,11.13856
7.36904,10.55787,11.15856
7.36912,10.53787,11.17855
7.36920,10.51787,11.19855
7.36928,10.49788,11.21855
7.36936,10.47788,11.23855
7.36944,10.45788,11.25854
7.36952,10.43788,11.27854
7.36960,10.41767,11.29854
7.36972,10.39745,11.31854
7.36984,10.37754,11.33854
7.36994,10.35777,11.35853
7.37002,10.33790,11.37853
7.37010,10.31790,11.39853
7.37018,10.29790,11.41853
7.37026,10.27790,11.43852
7.37034,10.25790,11.45852
7.37042,10.23791,11.47852
7.37050,10.21791,11.49852
7.37058,10.19791,11.51852
7.37066,10.17791,11.53851
7.37074,10.15792,11.55851
7.37082,10.13792,11.57851
7.37090,10.11792,11.59851
7.37098,10.09792,11.61850
7.37106,10.07783,11.63850
7.37116,10.05760,11.65850
7.37128,10.03748,11.67850
7.37140,10.01769,11.69850
7.37148,9.99792,11.71849
7.37156,9.97794,11.73849
7.37164,9.95794,11.75849
7.37172,9.93794,11.77849
7.37180,9.91794,11.79848
7.37188,9.89795,11.81848
7.37196,9.87795,11.83848
7.37204,9.85795,11.85848
7.37212,9.83795,11.87848
7.37220,9.81796,11.89847
7.37228,9.79796,11.91847
7.37236,9.77786,11.93847
7.37246,9.75764,11.95847
7.37258,9.73751,11.97847
7.37270,9.71773,11.99846
7.37278,9.69796,12.01846
7.37286,9.67797,12.03846
7.37294,9.65798,12.05846
7.37302,9.63798,12.07845
7.37310,9.61798,12.09845
