x_m,y_m,s_m
9.54725,12.81529,6.49926
9.53860,12.82964,6.51926
9.52975,12.84434,6.53925
9.52218,12.85626,6.55925
9.51272,12.87021,6.57924
9.50507,12.88167,6.59924
9.49680,12.89241,6.61924
9.48586,12.90675,6.63924
9.47579,12.91953,6.65923
9.46439,12.93347,6.67923
9.45799,12.94163,6.69923
9.45089,12.94865,6.71922
9.43900,12.96083,6.73922
9.42869,12.97091,6.75921
9.41618,12.98247,6.77921
9.40597,12.99204,6.79921
9.39533,13.00079,6.81920
9.38357,13.01059,6.83920
9.37536,13.01688,6.85918
9.36313,13.02529,6.87918
9.35269,13.03267,6.89918
9.34191,13.03902,6.91917
9.32776,13.04753,6.93917
9.31640,13.05391,6.95916
9.30194,13.06136,6.97916
9.29017,13.06758,6.99915
9.27820,13.07279,7.01915
9.26358,13.07929,7.03915
9.25253,13.08375,7.05913
9.23777,13.08900,7.07913
9.22555,13.09350,7.09913
9.21329,13.09695,7.11913
9.19705,13.10164,7.13912
9.18357,13.10515,7.15911
9.16725,13.10888,7.17911
9.15254,13.11232,7.19911
9.13786,13.11498,7.21911
9.12066,13.11813,7.23910
9.10589,13.12053,7.25910
9.08874,13.12286,7.27909
9.07257,13.12511,7.29909
9.05648,13.12675,7.31909
9.03872,13.12858,7.33909
9.02308,13.12991,7.35908
9.00543,13.13103,7.37908
8.98807,13.13216,7.39908
8.97079,13.13285,7.41908
8.95174,13.13362,7.43907
8.93354,13.13421,7.45907
8.91452,13.13467,7.47907
8.89562,13.13512,7.49907
8.87675,13.13539,7.51906
8.85680,13.13567,7.53906
8.83680,13.13595,7.55906
8.81681,13.13623,7.57906
8.79573,13.13653,7.59905
8.77461,13.13703,7.61905
8.75437,13.13751,7.63905
8.73393,13.13804,7.65905
8.71370,13.13861,7.67905
8.69608,13.13911,7.69904
8.67856,13.13922,7.71904
8.66073,13.13934,7.73904
8.64523,13.13915,7.75903
8.62768,13.13854,7.77903
8.61180,13.13804,7.79903
8.59614,13.13689,7.81903
8.57865,13.13564,7.83902
8.56367,13.13425,7.85902
8.54646,13.13223,7.87901
8.53071,13.13043,7.89901
8.51523,13.12800,7.91901
8.49783,13.12530,7.93901
8.48287,13.12267,7.95900
8.46582,13.11925,7.97900
8.45119,13.11638,7.99900
8.43693,13.11279,8.01899
8.42041,13.10869,8.03899
8.40691,13.10497,8.05898
8.39089,13.10003,8.07898
8.37663,13.09572,8.09898
8.36284,13.09073,8.11897
8.34651,13.08487,8.13897
8.33276,13.07960,8.15896
8.31693,13.07304,8.17896
8.30342,13.06752,8.19896
8.29046,13.06135,8.21896
8.27480,13.05395,8.23895
8.26169,13.04739,8.25895
8.24661,13.03934,8.27894
8.23411,13.03276,8.29894
8.22228,13.02555,8.31894
8.20804,13.01696,8.33894
8.19694,13.00983,8.35893
8.18355,13.00054,8.37892
8.17178,12.99249,8.39892
8.16072,12.98389,8.41892
8.14681,12.97316,8.43892
8.13495,12.96363,8.45891
8.12166,12.95241,8.47891
8.11019,12.94281,8.49890
8.09940,12.93278,8.51890
8.08754,12.92183,8.53890
8.07897,12.91338,8.55888
8.06829,12.90192,8.57888
8.05750,12.89046,8.59888
8.04735,12.87871,8.61888
8.03572,12.86528,8.63888
8.02577,12.85336,8.65887
8.01482,12.83962,8.67887
8.00611,12.82884,8.69886
7.99831,12.81774,8.71886
7.98819,12.80347,8.73886
7.97969,12.79097,8.75885
7.97030,12.77639,8.77885
7.96112,12.76220,8.79885
7.95245,12.74786,8.81885
7.94271,12.73178,8.83884
7.93370,12.71657,8.85884
7.92433,12.70035,8.87884
7.91636,12.68662,8.89884
7.90906,12.67275,8.91883
7.90080,12.65711,8.93883
7.89389,12.64339,8.95882
7.88640,12.62760,8.97882
7.87994,12.61416,8.99882
7.87430,12.60063,9.01882
7.86767,12.58484,9.03881
7.86248,12.57160,9.05881
7.85681,12.55576,9.07880
7.85184,12.54213,9.09880
7.84775,12.52850,9.11880
7.84280,12.51221,9.13880
7.83906,12.49873,9.15879
7.83510,12.48250,9.17878
7.83159,12.46846,9.19878
7.82895,12.45449,9.21878
7.82568,12.43746,9.23878
