x_m,y_m,s_m,track_width_m
9.95136,11.22595,4.75948,0.4500
9.95128,11.24595,4.77948,0.4500
9.95120,11.26595,4.79947,0.4500
9.95116,11.28595,4.81947,0.4500
9.95112,11.30595,4.83947,0.4500
9.95106,11.32594,4.85947,0.4500
9.95098,11.34594,4.87947,0.4500
9.95090,11.36594,4.89946,0.4500
9.95086,11.38594,4.91946,0.4500
9.95082,11.40593,4.93946,0.4500
9.95076,11.42593,4.95946,0.4500
9.95068,11.44593,4.97945,0.4500
9.95060,11.46593,4.99945,0.4500
9.95052,11.48592,5.01945,0.4500
9.95044,11.50592,5.03945,0.4500
9.95038,11.52592,5.05945,0.4500
9.95034,11.54592,5.07944,0.4500
9.95030,11.56592,5.09944,0.4500
9.95022,11.58591,5.11944,0.4500
9.95014,11.60591,5.13944,0.4500
9.95008,11.62591,5.15943,0.4500
9.95004,11.64591,5.17943,0.4500
9.95000,11.66590,5.19943,0.4500
9.94992,11.68590,5.21943,0.4500
9.94984,11.70590,5.23943,0.4500
9.94978,11.72590,5.25942,0.4500
9.94974,11.74589,5.27942,0.4500
9.94970,11.76589,5.29942,0.4500
9.94962,11.78589,5.31942,0.4500
9.94954,11.80589,5.33942,0.4500
9.94948,11.82589,5.35941,0.4500
9.94944,11.84588,5.37941,0.4500
9.94940,11.86588,5.39941,0.4500
9.94940,11.88588,5.41941,0.4500
9.94940,11.90588,5.43940,0.4500
9.94944,11.92587,5.45940,0.4500
9.94952,11.94587,5.47940,0.4500
9.94960,11.96587,5.49940,0.4500
9.94968,11.98587,5.51940,0.4500
9.94976,12.00586,5.53939,0.4500
9.94982,12.02586,5.55939,0.4500
9.94986,12.04586,5.57939,0.4500
9.94990,12.06586,5.59939,0.4500
9.94982,12.08586,5.61938,0.4500
9.94974,12.10585,5.63938,0.4500
9.94959,12.12585,5.65938,0.4500
9.94935,12.14585,5.67938,0.4500
9.94911,12.16584,5.69938,0.4500
9.94856,12.18583,5.71937,0.4500
9.94800,12.20582,5.73937,0.4500
9.94725,12.22581,5.75937,0.4500
9.94629,12.24578,5.77937,0.4500
9.94533,12.26576,5.79936,0.4500
9.94391,12.28570,5.81936,0.4500
9.94247,12.30565,5.83936,0.4500
9.94075,12.32557,5.85935,0.4500
9.93871,12.34546,5.87935,0.4500
9.93667,12.36536,5.89935,0.4500
9.93393,12.38517,5.91935,0.4500
9.93117,12.40497,5.93935,0.4500
9.92807,12.42473,5.95934,0.4500
9.92460,12.44442,5.97934,0.4500
9.92112,12.46411,5.99934,0.4500
9.91690,12.48366,6.01933,0.4500
9.91266,12.50320,6.03933,0.4500
9.90804,12.52266,6.05932,0.4500
9.90300,12.54201,6.07932,0.4500
9.89797,12.56136,6.09932,0.4500
9.89219,12.58051,6.11932,0.4500
9.88638,12.59964,6.13932,0.4500
9.88024,12.61867,6.15931,0.4500
9.87373,12.63758,6.17931,0.4500
9.86721,12.65648,6.19931,0.4500
9.86008,12.67516,6.21930,0.4500
9.85292,12.69384,6.23930,0.4500
9.84548,12.71240,6.25930,0.4500
9.83772,12.73083,6.27929,0.4500
9.82997,12.74926,6.29929,0.4500
9.82171,12.76747,6.31929,0.4500
9.81342,12.78568,6.33929,0.4500
9.80503,12.80383,6.35928,0.4500
9.79650,12.82192,6.37928,0.4500
9.78798,12.84001,6.39928,0.4500
9.77927,12.85801,6.41928,0.4500
9.77055,12.87600,6.43928,0.4500
9.76131,12.89373,6.45926,0.4500
9.75149,12.91115,6.47926,0.4500
9.74166,12.92856,6.49926,0.4500
9.73135,12.94570,6.51926,0.4500
9.72103,12.96283,6.53925,0.4500
9.71030,12.97969,6.55925,0.4500
9.69909,12.99626,6.57924,0.4500
9.68789,13.01282,6.59924,0.4500
9.67579,13.02874,6.61924,0.4500
9.66366,13.04464,6.63924,0.4500
9.65128,13.06034,6.65923,0.4500
9.63863,13.07583,6.67923,0.4500
9.62598,13.09132,6.69923,0.4500
9.61205,13.10566,6.71922,0.4500
9.59807,13.11996,6.73922,0.4500
9.58377,13.13393,6.75921,0.4500
9.56910,13.14752,6.77921,0.4500
9.55443,13.16111,6.79921,0.4500
9.53905,13.17390,6.81920,0.4500
9.52365,13.18666,6.83920,0.4500
9.50778,13.19879,6.85918,0.4500
9.49134,13.21018,6.87918,0.4500
9.47491,13.22158,6.89918,0.4500
9.45778,13.23190,6.91917,0.4500
9.44063,13.24217,6.93917,0.4500
9.42319,13.25195,6.95916,0.4500
9.40544,13.26115,6.97916,0.4500
9.38768,13.27035,6.99915,0.4500
9.36941,13.27848,7.01915,0.4500
9.35112,13.28656,7.03915,0.4500
9.33258,13.29403,7.05913,0.4500
9.31376,13.30078,7.07913,0.4500
9.29494,13.30754,7.09913,0.4500
9.27573,13.31311,7.11913,0.4500
